time,wx (rad/s),wy (rad/s),wz (rad/s)
0.0,-0.1,-0.47,0.44
0.010436,-0.09,-0.48,0.44
0.027124,-0.08,-0.48,0.44
0.041635,-0.06,-0.48,0.44
0.042581,-0.04,-0.45,0.42
0.058341,-0.01,-0.4,0.37
0.061301999999999995,0.06,-0.33,0.3
0.073865,0.16,-0.28,0.24
0.092018,0.26,-0.25,0.21
0.09263300000000001,0.33,-0.22,0.18
0.108365,0.36,-0.19,0.15
0.12366200000000001,0.35,-0.14,0.12
0.124297,0.31,-0.08,0.08
0.14210299999999998,0.21,-0.03,0.04
0.142833,0.13,0.06,-0.01
0.15863,0.06,0.17,-0.06
0.179855,-0.01,0.22,-0.09
0.18050999999999998,-0.03,0.27,-0.12
0.190651,-0.01,0.31,-0.13
0.20659799999999998,0.01,0.33,-0.14
0.20743099999999998,0.04,0.34,-0.14
0.22472499999999998,0.05,0.33,-0.13
0.22547099999999998,0.04,0.3,-0.1
0.239915,0.02,0.21,-0.06
0.25778,-0.01,0.18,-0.04
0.258483,-0.04,0.16,-0.03
0.275158,-0.12,0.09,0.01
0.27592,-0.24,0.03,0.05
0.290225,-0.28,-0.01,0.08
0.307688,-0.3,-0.04,0.1
0.308713,-0.29,-0.06,0.11
0.323058,-0.26,-0.08,0.1
0.34134000000000003,-0.18,-0.06,0.07
0.342144,-0.16,-0.09,0.08
0.35610400000000003,-0.15,-0.1,0.08
0.35818,-0.13,-0.12,0.1
0.375363,-0.17,-0.17,0.14
0.378834,-0.19,-0.16,0.13
0.389319,-0.21,-0.16,0.13
0.399795,-0.22,-0.16,0.13
0.411487,-0.22,-0.15,0.13
0.41998800000000003,-0.2,-0.14,0.11
0.430586,-0.15,-0.09,0.08
0.440327,-0.16,-0.06,0.07
0.454841,-0.23,-0.04,0.09
0.460966,-0.27,0.0,0.07
0.471191,-0.34,0.03,0.06
0.481448,-0.43,0.03,0.06
0.491902,-0.52,0.01,0.07
0.502293,-0.56,-0.02,0.07
0.513036,-0.57,-0.04,0.07
0.522112,-0.56,-0.05,0.07
0.532674,-0.56,-0.06,0.06
0.5434910000000001,-0.58,-0.09,0.07
0.553768,-0.64,-0.13,0.09
0.564117,-0.71,-0.17,0.11
0.5742510000000001,-0.79,-0.21,0.13
0.584488,-0.84,-0.22,0.13
0.594128,-0.87,-0.22,0.13
0.6049410000000001,-0.88,-0.18,0.1
0.614907,-0.88,-0.13,0.07
0.626332,-0.88,-0.08,0.05
0.6353800000000001,-0.89,-0.02,0.03
0.6458470000000001,-0.92,0.02,0.03
0.655444,-0.96,0.07,0.02
0.665721,-1.02,0.19,-0.02
0.67649,-1.1,0.45,-0.14
0.686665,-1.14,0.8,-0.32
0.696757,-1.05,1.08,-0.44
0.707313,-0.86,1.14,-0.42
0.717526,-0.66,1.02,-0.31
0.737108,-0.54,0.82,-0.17
0.738326,-0.47,0.64,-0.06
0.748398,-0.41,0.56,-0.01
0.759607,-0.33,0.57,-0.01
0.768752,-0.25,0.61,-0.03
0.7785690000000001,-0.2,0.61,-0.04
0.78968,-0.17,0.53,-0.01
0.799221,-0.12,0.36,0.0
0.8098960000000001,-0.07,0.26,0.04
0.820354,-0.05,0.21,0.06
0.829729,-0.02,0.11,0.03
0.842323,-0.01,0.05,0.01
0.851151,-0.15,-0.01,0.08
0.861149,-0.4,-0.07,0.11
0.870828,-0.58,-0.09,0.04
0.882237,-0.69,-0.09,-0.0
0.891548,-0.75,-0.1,-0.03
0.902359,-0.78,-0.12,-0.05
0.912378,-0.8,-0.14,-0.05
0.922867,-0.77,-0.16,-0.04
0.9333170000000001,-0.7,-0.16,-0.02
0.942818,-0.6,-0.13,0.0
0.954001,-0.51,-0.1,0.02
0.963751,-0.49,-0.09,0.03
0.974859,-0.5,-0.13,0.04
0.983827,-0.51,-0.2,0.06
0.994432,-0.49,-0.32,0.1
1.00487,-0.45,-0.48,0.16
