time,wx (rad/s),wy (rad/s),wz (rad/s)
1.5388900000000003,-1.57,-0.86,1.61
1.5484,-1.71,-1.04,1.65
1.5586969999999996,-1.93,-1.2,1.72
1.5684269999999998,-2.28,-1.38,1.85
1.5792159999999997,-2.79,-1.59,2.08
1.5893870000000003,-3.29,-1.82,2.33
1.599411,-4.06,-2.14,2.73
1.609864,-5.11,-2.53,3.25
1.6197039999999996,-6.6,-2.92,3.92
1.6305399999999999,-8.63,-3.19,4.77
1.640345,-11.2,-3.2,5.78
1.6508329999999996,-13.91,-2.84,6.89
1.661422,-15.87,-2.11,7.86
1.671277,-16.21,-1.14,8.38
1.681641,-14.86,-0.19,8.32
1.691669,-12.41,0.59,7.83
1.702414,-9.53,1.14,7.09
1.7125430000000001,-6.7,1.51,6.26
1.7224889999999995,-4.19,1.73,5.43
1.7330369999999995,-2.19,1.81,4.65
1.7436249999999998,-0.75,1.76,3.93
1.753247,0.14,1.59,3.27
1.7643550000000001,0.61,1.34,2.77
1.7739599999999998,0.79,1.04,2.2
1.784485,0.85,0.79,1.75
1.794226,1.01,0.62,1.33
1.8054059999999996,1.41,0.52,0.84
1.8152729999999995,2.14,0.46,0.2
1.8255949999999999,3.22,0.41,-0.58
1.8357520000000003,4.26,0.39,-1.4
1.8464840000000002,5.51,0.46,-2.15
1.85628,6.67,0.65,-2.7
1.86625,7.59,0.97,-3.07
1.8767769999999997,8.23,1.34,-3.3
1.8865559999999997,8.64,1.67,-3.49
1.896807,8.91,1.94,-3.7
1.9069500000000001,8.99,2.13,-3.88
1.917618,8.76,2.22,-3.95
1.9280879999999998,8.12,2.14,-3.81
1.9385589999999997,7.13,1.91,-3.41
1.9481719999999996,6.0,1.67,-2.88
1.9587779999999997,4.94,1.55,-2.33
1.9687520000000003,3.96,1.5,-1.81
1.9792300000000003,3.16,1.39,-1.25
1.9891509999999997,2.16,1.04,-0.59
1.999632,1.41,0.44,0.05
2.0104749999999996,0.95,-0.3,0.61
2.0199749999999996,0.79,-1.03,0.99
2.0302749999999996,0.83,-1.65,1.2
2.040838,0.94,-2.04,1.28
2.050942,1.03,-2.18,1.26
2.0661189999999996,1.04,-2.08,1.2
2.071562,0.92,-1.83,1.13
2.0825069999999997,0.72,-1.51,1.06
2.0924759999999996,0.45,-1.19,1.0
2.101826,0.15,-0.9,0.94
2.1124650000000003,-0.16,-0.64,0.89
2.122377,-0.5,-0.43,0.85
2.1328949999999995,-0.88,-0.26,0.81
2.1435189999999995,-1.31,-0.12,0.77
2.1530519999999997,-1.79,0.01,0.74
2.163881,-2.35,0.14,0.72
2.1738,-3.01,0.26,0.7
2.1839389999999996,-3.55,0.38,0.68
2.198371,-4.24,0.49,0.66
2.204744,-4.93,0.58,0.65
2.215243,-5.66,0.66,0.66
2.2249730000000003,-6.41,0.73,0.69
2.235296,-7.18,0.78,0.74
2.245335,-7.97,0.79,0.83
2.255911,-8.81,0.8,0.98
2.266235,-9.64,0.84,1.21
2.27635,-10.29,0.95,1.55
2.286714,-10.59,1.12,2.03
2.297217,-10.46,1.28,2.63
2.3074579999999996,-9.93,0.95,2.23
2.317273,-8.98,0.7,2.34
2.3275379999999997,-7.7,0.87,3.63
2.338215,-6.24,0.75,4.3
2.3478849999999998,-3.73,0.52,4.47
2.3584899999999998,-1.91,0.26,4.29
2.3690049999999996,-1.59,0.01,3.9
2.378851,-1.02,-0.2,3.42
2.3892249999999997,-0.39,-0.37,3.03
2.399179,0.19,-0.5,2.47
2.4104460000000003,0.69,-0.6,1.97
2.420198,1.14,-0.69,1.51
2.430747,1.53,-0.79,1.05
2.4413979999999995,1.84,-0.92,0.55
2.4511589999999996,1.97,-1.08,0.04
2.4614529999999997,1.9,-1.27,-0.43
2.471272,1.74,-1.47,-0.83
2.4817270000000002,1.61,-1.67,-1.21
2.4912019999999995,1.63,-1.91,-1.66
2.5015669999999997,1.84,-2.24,-2.26
2.512402,2.27,-2.7,-3.04
2.522635,2.87,-3.18,-3.75
2.5323130000000003,3.92,-3.94,-4.69
2.5430079999999995,5.81,-4.95,-5.8
2.553618,9.45,-6.3,-7.25
2.563644,15.77,-7.83,-9.19
2.573995,23.35,-8.58,-11.25
2.5839099999999995,27.72,-7.68,-12.45
2.5944760000000002,26.7,-5.86,-12.23
2.604876,22.62,-4.28,-10.93
2.614407,17.99,-3.18,-9.17
2.627248,13.82,-2.4,-7.35
2.6352,10.39,-1.78,-5.65
2.6457699999999997,7.74,-1.3,-4.16
2.655538,5.87,-0.94,-2.93
2.6659809999999995,4.68,-0.73,-1.97
2.6763630000000003,4.05,-0.66,-1.26
2.686972,3.75,-0.66,-0.78
2.696593,3.56,-0.67,-0.51
2.7074100000000003,3.28,-0.61,-0.36
2.7172970000000003,2.97,-0.48,-0.26
2.727952,2.38,-0.3,-0.15
2.738123,1.79,-0.11,-0.0
2.74775,1.25,0.07,0.19
2.7616829999999997,0.74,0.24,0.43
2.768256,0.27,0.4,0.7
2.778942,-0.19,0.53,1.02
2.789459,-0.61,0.64,1.36
2.7995859999999997,-0.97,0.7,1.68
2.809665,-1.26,0.71,1.98
2.8199240000000003,-1.42,0.67,2.24
2.8301559999999997,-1.41,0.56,2.49
2.842351,-1.16,0.36,2.72
2.8511489999999995,-0.63,0.1,2.92
2.8609789999999995,0.3,-0.27,3.01
2.8711640000000003,1.97,-0.82,2.8
2.8816990000000002,4.73,-1.69,2.0
2.8945739999999995,9.15,-3.01,0.49
2.901809,15.17,-4.86,-1.93
2.912021,21.39,-6.96,-4.79
2.922796,25.24,-8.6,-6.96
2.932761,25.36,-9.12,-7.62
2.942863,22.92,-8.61,-7.04
2.95329,19.94,-7.64,-6.06
2.962846,17.6,-6.69,-5.25
2.9739560000000003,16.22,-6.07,-4.8
2.983638,15.55,-5.82,-4.6
2.9944189999999997,14.98,-5.77,-4.38
3.004595,13.95,-5.61,-3.92
3.014476,12.22,-5.15,-3.18
3.026922,10.06,-4.45,-2.29
3.034948,8.0,-3.71,-1.52
3.045497,6.61,-3.19,-1.13
3.05666,6.2,-3.09,-1.24
3.0662139999999996,6.84,-3.5,-1.84
3.076091,8.69,-4.56,-2.95
3.0866169999999995,12.48,-6.69,-4.75
3.0966940000000003,19.82,-10.72,-7.64
3.1064920000000003,30.01,-15.81,-11.11
3.11766,35.96,-17.7,-13.0
3.1273029999999995,33.36,-14.5,-12.5
3.1376749999999998,26.56,-9.34,-11.27
3.1482409999999996,20.04,-4.89,-10.49
3.158988,15.16,-1.89,-10.31
3.169201,11.84,-0.25,-10.45
3.178806,9.59,0.37,-10.56
3.1918040000000003,6.76,0.38,-10.23
3.19893,3.93,0.11,-9.2
3.2094560000000003,2.52,-0.21,-7.56
3.2203429999999997,1.89,-0.43,-5.65
3.23107,1.68,-0.52,-3.83
3.239847,1.54,-0.51,-2.35
3.2512489999999996,1.34,-0.47,-1.09
3.260687,1.22,-0.42,-0.19
3.271192,1.17,-0.36,0.43
3.281434,1.17,-0.29,0.82
3.2917240000000003,1.2,-0.22,1.03
3.3025320000000002,1.23,-0.15,1.11
3.311952,1.24,-0.1,1.11
3.322725,1.22,-0.05,1.08
3.3323729999999996,1.15,-0.01,1.03
3.3429329999999995,1.03,0.04,1.0
3.355137,0.85,0.12,0.97
3.3634709999999997,0.61,0.23,0.97
3.3740189999999997,0.34,0.36,1.01
3.3846799999999995,0.04,0.47,1.09
3.394025,-0.28,0.56,1.23
3.40517,-0.63,0.63,1.44
3.414753,-1.0,0.69,1.69
3.4252339999999997,-1.36,0.71,1.95
3.4364669999999995,-1.67,0.69,2.19
3.445844,-1.86,0.6,2.39
3.4584260000000002,-1.91,0.43,2.55
3.465949,-1.81,0.19,2.66
3.475859,-1.59,-0.09,2.7
3.486555,-1.27,-0.37,2.69
3.496657,-0.88,-0.63,2.63
3.5071639999999995,-0.5,-0.82,2.56
3.517258,-0.26,-0.93,2.5
3.5274149999999995,-0.26,-0.91,2.5
3.5378249999999998,-0.65,-0.71,2.56
3.5476929999999998,-1.49,-0.32,2.7
3.558267,-2.85,0.28,2.91
3.5683559999999996,-4.37,1.04,3.01
3.578697,-6.12,1.89,3.15
3.5915419999999996,-7.54,2.67,3.14
3.598961,-8.08,3.12,2.91
3.6093279999999996,-7.47,3.05,2.47
3.620076,-6.01,2.52,1.92
3.6298209999999997,-4.31,1.81,1.39
3.6404699999999997,-2.9,1.16,0.96
3.6505330000000002,-1.61,0.65,0.57
3.6609119999999997,-0.49,0.23,0.2
3.6707529999999995,0.6,-0.14,-0.18
3.68145,1.62,-0.45,-0.61
3.691206,2.61,-0.74,-1.05
3.702928,3.33,-0.99,-1.48
3.712213,3.97,-1.18,-1.89
3.722823,4.41,-1.28,-2.29
3.7325289999999995,4.66,-1.26,-2.75
3.742507,4.75,-1.05,-3.36
3.7528689999999996,4.56,-0.61,-4.1
3.7631879999999995,4.01,0.04,-4.85
3.7738199999999997,3.2,0.75,-5.5
3.783869,2.46,1.36,-6.09
3.79446,2.06,1.72,-6.72
3.804323,2.0,1.84,-7.47
3.814908,2.01,1.85,-8.22
3.82482,1.72,1.85,-8.58
3.8358499999999998,1.05,1.79,-8.07
3.8450889999999998,0.3,1.57,-6.67
3.855309,-0.2,1.2,-4.89
3.866326,-0.41,0.78,-3.26
3.8758799999999995,-0.34,0.44,-1.95
3.886665,-0.41,0.22,-1.0
3.8963609999999997,-0.59,0.09,-0.31
3.906484,-0.58,0.0,0.35
3.9172409999999998,-0.57,-0.05,0.84
3.9276150000000003,-0.51,-0.1,1.15
3.9381569999999995,-0.41,-0.14,1.29
3.947996,-0.3,-0.16,1.3
3.9584269999999995,-0.19,-0.16,1.22
3.9689559999999995,-0.11,-0.13,1.1
3.978232,-0.07,-0.08,1.0
3.988728,-0.07,-0.04,0.94
3.9993039999999995,-0.1,-0.02,0.92
4.008822,-0.13,-0.04,0.94
4.022104,-0.13,-0.09,0.97
4.03015,-0.12,-0.14,1.02
4.0398309999999995,-0.1,-0.21,1.1
4.051214,-0.07,-0.29,1.21
4.0605519999999995,0.01,-0.39,1.32
4.071064,0.21,-0.53,1.41
4.080737,0.55,-0.7,1.46
4.091367,1.02,-0.88,1.46
4.102,1.61,-1.05,1.42
4.112,2.24,-1.16,1.34
4.12243,2.84,-1.2,1.23
4.132566,3.18,-1.17,1.11
4.142749,3.57,-1.11,1.0
4.154211,3.99,-1.04,0.92
4.16324,4.59,-1.0,0.83
4.173156,5.47,-0.97,0.72
4.183952,6.65,-0.95,0.52
4.194255,8.03,-0.92,0.23
4.203936,9.5,-0.87,-0.16
4.215318,11.0,-0.82,-0.66
4.224782,11.74,-0.68,-1.03
4.234964,10.39,-0.25,-0.78
4.2456059999999995,6.76,0.49,0.24
4.255242,2.36,1.26,1.58
4.265781,-0.63,1.64,2.52
4.276193,-1.08,1.6,2.76
4.28641,-0.76,1.44,2.76
4.296593,-4.41,1.54,3.43
4.307029,-27.1,2.61,7.42
4.31729,-62.61,4.9,12.91
4.326888,-67.79,5.81,13.2
4.337904,-45.72,4.66,9.52
4.348488,-27.58,3.43,6.61
4.358706,-16.17,2.47,4.76
4.368247,-10.18,1.38,3.1
4.378996,-6.73,0.56,1.64
4.389018,-2.86,0.08,0.83
4.40032,3.57,-0.78,-0.38
4.409385,12.7,-1.99,-2.47
4.419477,23.83,-3.07,-4.97
4.431045,33.31,-2.95,-7.5
4.439807,35.42,-1.08,-9.75
4.450717,29.34,1.38,-11.39
4.460421,20.05,2.95,-11.79
4.470611,11.86,3.29,-10.55
4.481467,6.16,2.83,-8.2
4.491167,2.72,2.12,-5.7
4.502356,0.83,1.49,-3.71
4.5115,-0.13,1.03,-2.34
4.521473,-0.6,0.69,-1.23
4.532471,-0.75,0.4,-0.38
4.542835,-0.66,0.14,0.25
4.55263,-0.39,-0.08,0.66
4.563524,-0.04,-0.25,0.87
4.573118,0.28,-0.35,0.92
4.582983,0.46,-0.37,0.87
4.5935239999999995,0.45,-0.33,0.77
4.603639,0.23,-0.25,0.68
4.615344,-0.17,-0.14,0.64
4.6247679999999995,-0.67,-0.05,0.67
4.635435,-1.2,-0.01,0.79
4.645592,-1.74,-0.03,0.97
4.654964,-2.24,-0.12,1.17
4.665719,-2.66,-0.23,0.75
4.676052,-3.01,-0.32,-0.02
4.686497,-3.17,-0.39,0.19
4.696525,-3.47,-0.44,0.94
4.707117,-3.8,-0.47,1.37
4.716429,-4.15,-0.48,0.91
4.726978,-4.58,-0.48,0.76
4.737553,-5.13,-0.34,0.83
4.747171,-5.77,-0.14,0.27
4.757861,-6.44,-0.05,-0.02
4.768441,-7.06,-0.06,-0.19
4.778078,-7.54,0.03,0.54
4.788815,-7.83,0.24,1.76
4.798576,-7.97,0.39,2.4
4.809318,-8.0,0.54,2.73
4.819204,-7.9,0.72,2.88
4.834517,-7.59,0.91,2.9
4.840077,-7.02,1.08,2.84
4.850269,-6.19,1.19,2.7
4.8603439999999996,-5.19,1.18,2.48
4.870816,-4.09,1.06,2.19
4.881135,-3.1,0.86,1.88
4.891484,-1.8,0.57,1.46
4.901147,-0.49,0.16,0.98
4.9130009999999995,0.86,-0.35,0.44
4.922167,2.27,-0.9,-0.1
4.932198,3.55,-1.35,-0.57
4.94226,4.89,-1.6,-0.98
4.952438,6.31,-1.64,-1.39
4.9627159999999995,7.76,-1.57,-1.86
4.973552,9.09,-1.57,-2.38
4.9836,10.17,-1.79,-2.91
