time,wx (rad/s),wy (rad/s),wz (rad/s)
1.714130,-0.13,-0.79,-0.14
1.724685,-0.18,-0.83,-0.09
1.735108,-0.25,-0.85,-0.03
1.744747,-0.32,-0.83,0.01
1.756772,-0.40,-0.76,0.04
1.765849,-0.48,-0.65,0.07
1.776363,-0.56,-0.54,0.09
1.786731,-0.62,-0.46,0.12
1.796271,-0.67,-0.43,0.13
1.809708,-0.69,-0.45,0.15
1.817352,-0.69,-0.50,0.15
1.827726,-0.67,-0.54,0.15
1.839473,-0.63,-0.53,0.13
1.847223,-0.59,-0.46,0.11
1.857639,-0.57,-0.35,0.10
1.868283,-0.56,-0.21,0.08
1.878499,-0.56,-0.09,0.08
1.889048,-0.57,-0.02,0.08
1.899087,-0.59,-0.01,0.09
1.909066,-0.62,-0.02,0.11
1.919973,-0.63,-0.04,0.13
1.929283,-0.61,-0.04,0.15
1.940111,-0.59,-0.03,0.17
1.950929,-0.56,-0.01,0.18
1.960516,-0.56,0.01,0.18
1.971497,-0.56,0.02,0.19
1.980717,-0.58,0.02,0.20
1.991177,-0.58,0.02,0.22
2.001623,-0.58,0.02,0.23
2.011790,-0.56,0.03,0.23
2.021822,-0.54,0.04,0.21
2.032084,-0.50,0.06,0.19
2.042567,-0.46,0.08,0.18
2.053196,-0.40,0.11,0.18
2.063380,-0.35,0.16,0.17
2.073344,-0.32,0.22,0.16
2.083969,-0.31,0.29,0.14
2.093637,-0.30,0.36,0.13
2.110781,-0.30,0.42,0.12
2.113965,-0.29,0.46,0.10
2.124948,-0.26,0.49,0.08
2.135261,-0.23,0.50,0.06
2.144878,-0.19,0.52,0.04
2.155148,-0.14,0.52,0.03
2.166030,-0.10,0.52,0.02
2.175828,-0.06,0.53,0.01
2.187099,-0.03,0.53,0.00
2.195808,-0.00,0.53,-0.00
2.207456,0.02,0.51,-0.01
2.217783,0.05,0.47,-0.01
2.226874,0.08,0.41,-0.00
2.240762,0.07,0.28,-0.00
2.247485,0.06,0.22,-0.01
2.257612,0.06,0.19,-0.02
2.268563,0.03,0.10,-0.01
2.278375,0.02,0.05,-0.00
2.288496,0.01,0.03,-0.00
2.298735,-0.07,0.03,-0.00
2.309594,-0.12,0.04,0.00
2.319972,-0.10,0.05,0.02
2.330049,-0.10,0.05,0.03
2.340381,-0.05,0.03,0.01
2.350429,-0.11,-0.02,0.01
2.360291,-0.17,-0.12,0.02
2.373844,-0.17,-0.24,0.03
2.380797,-0.19,-0.35,0.03
2.391272,-0.20,-0.43,0.04
2.401748,-0.21,-0.47,0.04
2.411964,-0.22,-0.50,0.04
2.422021,-0.23,-0.50,0.04
2.432071,-0.22,-0.46,0.03
2.442246,-0.16,-0.32,0.02
2.452961,-0.08,-0.16,0.01
